Name,Address,City,State,Zipcode,Bandwitdh ( DIA or Broadband) Prediction,Direct or Wholesale Prediction,DQE ICP Focus,Provider And Connectivity,Website,Phone,LinkedIn Url,No Of Employees,Est Telco Spend,Entity Employee count,Entity Telco Spend,Location Type,Competitive Rating,canon_name,addr_zip_key,Network Build Status,Building Connection Status,Building Category,Access Medium,Install Interval,Supplier Name,Global Location ID,Custom Pricing Zone,Simple Status,Structure Status,Structure Type,Alternate Address,No IPL,Vanity Name,Building Management Company,Dist to Fiber Term Pt,Total Costs,Address Feedback,Country,Founded,API_EntityName,API_Website,API_Phone,API_LinkedIn,API_NoOfEmployees,API_MonthlyNetworkSpend,API_Revenue,API_Industry,API_FoundedYear,API_LocationType,API_LocationCount,DQE_Site_Distance,DQE_Connection_Status,DQE_Access_Medium,DQE_Network_Status,SITE_All_Competitors,API_Additional_Tenants
John J Kane Regional Center Scott Twp,203 Townsend Dr,Monroeville,Pennsylvania,15146,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.alleghenydems.com,800-817-5116,,2,465,5691,200424,Commercial Building,Green,john j kane regional center scott twp,203 townsend dr|15146,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2F66P+785BS00,,,,,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
John J Kane Regional Center Scott Twp,339 Old Haymaker Rd,Monroeville,Pennsylvania,15146,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://www.alleghenydems.com,,,4,465,5691,200424,Commercial Building,Red,john j kane regional center scott twp,339 old haymaker rd|15146,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US87G2C6WQ+JWPBS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
JPMORGAN CHASE & CO,4163 William Penn Hwy,Monroeville,Pennsylvania,15146,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.jpmorganchase.com,412-702-0577,https://www.linkedin.com/company/jpmorganchase,4,465,164757,7256791.32,Commercial Building,Green,jpmorgan chase &,4163 william penn hwy|15146,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C6QP+P2FBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Kenneth Debus - Union Home Mortgage,1514 Lincoln Way,McKeesport,Pennsylvania,15131,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.unionhomemortgage.com/kdebus,412-506-8050,https://www.linkedin.com/company/union-home-mortgage,4,465,1195,126960,"Commercial Building,Health Care",Green,kenneth debus - union home mortgage,1514 lincoln way|15131,,,,,,,,,,,,,,,,,,,,1970,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Marriott International Inc,405 Wood St,Pittsburgh,Pennsylvania,15222,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.marriott.com,141-430-4444,https://www.linkedin.com/company/marriott-international,8,465,146076,1810719.3,Commercial Building,Red,marriott international,405 wood st|15222,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GXCXQX+VF2BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Mortgage Planning Group,1201 S Braddock Ave,Pittsburgh,Pennsylvania,15218,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.mortgageplanninggroup.com,412-342-0200,,4,465,2,930,"Commercial Building,Health Care",Green,mortgage planning group,1201 s braddock ave|15218,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G2C4J4+MRRBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Northwest Bank,535 Smithfield St,Pittsburgh,Pennsylvania,15222,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://northwest.bank,412-281-0883,https://www.linkedin.com/company/northwest-savings-bank,4,465,3099,247427.5,"Commercial Building,Health Care",Red,northwest bank,535 smithfield st|15222,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2R2+FPWBS00,,,Existing Lit - Single Entrance,Building,,No,Oliver Building / Hilton,,,0,ok,US,1896,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
PITTSBURGH CRYOBANK,2000 Technology Dr,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.pittsburghcryobank.com,412-687-0977,https://www.linkedin.com/company/pittsburgh-cryobank-inc,8,465,4,930,Commercial Building,Red,pittsburgh cryobank,2000 technology dr|15219,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US87G2C2MH+JXJBS00,,,Fiber Ready - Single Entrance,Building,,No,,,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
PNC Bank,560 Lysle Blvd,McKeesport,Pennsylvania,15132,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.pnc.com,412-678-6125,https://www.linkedin.com/company/pnc-bank,4,465,38995,2073200,Commercial Building,Green,pnc bank,560 lysle blvd|15132,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2942R+P24BS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
PNC Bank,704 Washington Crown Ctr,Washington,Pennsylvania,15301,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.pnc.com,724-225-1890,https://www.linkedin.com/company/pnc-bank,4,465,38995,2073200,Commercial Building,Green,pnc bank,704 washington crown ctr|15301,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GX4PXJ+QRMPS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
State of Commonwealth of Pennsylvania,500 Waterfront Dr,Pittsburgh,Pennsylvania,15222,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.pa.gov,412-442-4235,https://www.linkedin.com/company/commonwealth-of-pennsylvania_2,4,465,31053,2000137.25,Commercial Building,Red,state of commonwealth of pennsylvania,500 waterfront dr|15222,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2F28F+FCQBS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,1787,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Upmc Eye Center,1425 Forbes Ave,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.upmc.com,412-232-7865,https://www.linkedin.com/company/upmc,4,465,8487,714587.25,"Commercial Building,Government,Health Care",Red,upmc eye center - eye & ear institute,1425 forbes ave|15219,Connected,OnNet,"Health Care,Government,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2Q7+6J2BS00,,,Existing Lit - Diverse Entrances,Building W/ Cell Site,,No,,,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Upmc Eye Center,1500 5th Ave,McKeesport,Pennsylvania,15132,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.upmc.com,412-664-2230,https://www.linkedin.com/company/upmc,4,465,8487,714587.25,"Commercial Building,Health Care,School/University",Red,upmc eye center - eye & ear institute,1500 5th ave|15132,Connected,OnNet,"Health Care,School/University,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G29522+FH6BS00,,,Existing Lit - Diverse Entrances,Building,,No,,,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Upmc Eye Center,1600 Wildlife Lodge Rd,New Kensington,Pennsylvania,15068,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.upmc.com,724-339-4418,https://www.linkedin.com/company/upmc,2,465,8487,714587.25,"Commercial Building,Health Care",Green,upmc eye center - eye & ear institute,1600 wildlife lodge rd|15068,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Upmc Eye Center,4401 Penn Ave,Pittsburgh,Pennsylvania,15224,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.upmc.com,412-692-7280,https://www.linkedin.com/company/upmc,4,465,8487,714587.25,"Commercial Building,Health Care",Red,upmc eye center - eye & ear institute,4401 penn ave|15224,Not Connected,Near Net,"Commercial Building,Health Care",Fiber,60,DQE COMMUNICATIONS,US87G2F28W+QPPPS00,,,ConnectBase - Pending Estimate,Building,1 Childrens Hospital Dr,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Wyndham Hotel Group,1170 W Chestnut St,Washington,Pennsylvania,15301,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.wyndhamhotels.com,724-225-9750,https://www.linkedin.com/company/wyndhamhotels,4,465,128273,5844862.25,Commercial Building,Green,wyndham hotel group,1170 w chestnut st|15301,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GX5P6H+XXRBS00,,,,,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Wyndham Hotel Group,625 Liberty Ave,Pittsburgh,Pennsylvania,15222,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://www.wyndhamhotels.com,412-444-3500,https://www.linkedin.com/company/wyndhamhotels,8,465,128273,5844862.25,Commercial Building,Red,wyndham hotel group,625 liberty ave|15222,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXCXVX+29PBS00,,,Existing Lit- Type 1,Building - Property Owner,,No,EQT Plaza,"10090 Liberty Avenue Holdings, LLC",,0,ok,US,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Josh Steel,46 6th St,Braddock,Pennsylvania,15104,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.joshsteel.biz,412-351-3500,https://www.linkedin.com/company/josh-steel-co,17,464.31,17,464.31,Commercial Building,Yellow,josh steel,46 6th st|15104,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C42H+F4QBS00,,,,,,,,,,,ok,,1948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Omni Fab,822 Anderson St,New Kensington,Pennsylvania,15068,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.omnifabinc.com,724-334-8851,https://www.linkedin.com/company/omni-fab-inc,19,459.06,19,459.06,Commercial Building,Yellow,omni fab,822 anderson st|15068,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2H66R+R5FBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Allegheny Health Network,2580 Haymaker Rd,Monroeville,Pennsylvania,15146,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.alleghenycounty.us,412-856-1811,https://www.linkedin.com/company/allegheny-county,5,453.75,8346,240825.25,"Commercial Building,Health Care",Yellow,allegheny health network,2580 haymaker rd|15146,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G2C7H2+CWCBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,1788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
BP,1297 W Chestnut St,Washington,Pennsylvania,15301,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.bp.com,724-229-2896,https://www.linkedin.com/company/bp,5,453.75,43657,5180932.04,Commercial Building,Yellow,bp,1297 w chestnut st|15301,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GX5P8G+6XXBS00,,,Fiber Ready - Single Entrance,Building,,No,,,,0,ok,GB,1909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
BP,1300 Jefferson Ave,Washington,Pennsylvania,15301,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.bp.com,724-228-6550,https://www.linkedin.com/company/bp,5,453.75,43657,5180932.04,Commercial Building,Yellow,bp,1300 jefferson ave|15301,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GX5PPJ+JXCBS00,,,Fiber Ready - Single Entrance,Building,,No,,,,0,ok,GB,1909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Giant Eagle,1043 S Braddock Ave,Pittsburgh,Pennsylvania,15218,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.gianteagle.com,412-241-7481,https://www.linkedin.com/company/giant-eagle,5,453.75,26930,505422.66,Commercial Building,Green,giant eagle,1043 s braddock ave|15218,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C4M4+7CPBS00,,,Estimated - Single Entrance Only,Building,,No,Giant Eagle - 3619 - Get Go,,200,5000,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Giant Eagle,1599 S Braddock Ave,Pittsburgh,Pennsylvania,15218,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.gianteagle.com,,https://www.linkedin.com/company/giant-eagle,5,453.75,26930,505422.66,Commercial Building,Green,giant eagle,1599 s braddock ave|15218,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C4G6+V7MBS00,,,,,,,,,,,ok,,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Giant Eagle,3220 Leechburg Rd,New Kensington,Pennsylvania,15068,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.gianteagle.com,724-212-2036,https://www.linkedin.com/company/giant-eagle,5,453.75,26930,505422.66,"Commercial Building,Government",Green,giant eagle,3220 leechburg rd|15068,,,,,,,,,,,,,,,,,,,,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Giant Eagle,998 Hayden Blvd,Elizabeth,Pennsylvania,15037,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.gianteagle.com,,https://www.linkedin.com/company/giant-eagle,5,453.75,26930,505422.66,Commercial Building,Green,giant eagle,998 hayden blvd|15037,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2747C+V6PBS00,,,Estimated - Single Entrance Only,Building,,No,,,200,5000,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Pittsburgh History & Landmarks Foundation,100 W Station Square Dr,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.phlf.org,412-471-5808,https://www.linkedin.com/company/pittsburgh-history-&-landmarks-foundation-phlf-,21,452.5,22,452.5,"Commercial Building,Government,Health Care",Red,pittsburgh history & landmarks foundation,100 w station square dr|15219,Connected,OnNet,"Health Care,Government,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US86GXCXMW+9FGBS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,1964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
J B Hunt Transport Svc,100 W Station Square Dr,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.jbhunt.com,800-452-4868,https://www.linkedin.com/company/jb-hunt-transport-services-inc,19,451.25,7828,148875.7,"Commercial Building,Government,Health Care",Red,j b hunt transport svc,100 w station square dr|15219,Connected,OnNet,"Health Care,Government,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US86GXCXMW+9FGBS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,1961,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
City Co Federal Credit Union,220 Grant St,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.citycofcu.com,412-350-5957,https://www.linkedin.com/company/city-co-federal-credit-union,8,445,8,445,Commercial Building,Green,city federal credit union,220 grant st|15219,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C2P2+WR4BS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
The New Olde Bank Theatre,722 Allegheny River Blvd,Verona,Pennsylvania,15147,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://puzzleroompittsburgh.com/,412-251-7904,,8,445,0,445,"Commercial Building,Health Care",Green,new olde bank theatre,722 allegheny river blvd|15147,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G2G544+6M2BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Allegheny Health Network,4800 Friendship Ave,Pittsburgh,Pennsylvania,15224,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.alleghenycounty.us,412-605-6389,https://www.linkedin.com/company/allegheny-county,7,442.5,8346,240825.25,"Commercial Building,Health Care",Red,allegheny health network,4800 friendship ave|15224,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2F363+CG7BS00,,,Fiber Ready - Single Entrance,Building,,No,West Penn Hospital,,,0,ok,US,1788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Dollar Bank Federal Savings Bank,400 Lysle Blvd,McKeesport,Pennsylvania,15132,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.dollar.bank,412-673-7366,https://www.linkedin.com/company/dollar-bank,7,442.5,2030,72119.25,Commercial Building,Red,dollar bank federal savings bank,400 lysle blvd|15132,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US87G2942P+HW8BS00,,,Fiber Ready - Single Entrance,Building,,No,,,,0,ok,US,1855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
HUNTINGTON BANK,650 Smithfield St,Pittsburgh,Pennsylvania,15222,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.huntington.northwell.edu,412-471-7010,https://www.linkedin.com/company/northwell-health,7,442.5,20205,1042518.75,"Commercial Building,Data Center,Health Care",Red,huntington bank,650 smithfield st|15222,Connected,OnNet,"Health Care,Data Center,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2R3+W7JBS00,,,Existing Lit - Diverse Entrances,Carrier PoP,,No,Center City Tower,,,0,ok,US,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Wyndham Hotel Group,600 Commonwealth Pl,Pittsburgh,Pennsylvania,15222,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://www.wyndhamhotels.com,412-391-4600,https://www.linkedin.com/company/wyndhamhotels,7,442.5,128273,5844862.25,Commercial Building,Red,wyndham hotel group,600 commonwealth pl|15222,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXCXRV+MC8BS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
AT&T,500 Grant St,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.att.com,412-575-5910,https://www.linkedin.com/company/att,9,436.88,307129,31691567.96,"Commercial Building,Health Care",Red,at&t,500 grant st|15219,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2Q3+VJ4BS00,,,Existing Lit- Type 1,Building - Property Owner,,No,,10061 The Bank of New York Mellon,,0,ok,US,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Giant Eagle,2001 Lincoln Way,McKeesport,Pennsylvania,15131,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.gianteagle.com,412-664-6371,https://www.linkedin.com/company/giant-eagle,9,436.88,26930,505422.66,"Commercial Building,Government,Health Care",Red,giant eagle,2001 lincoln way|15131,,,,,,,,,,,,,,,,,,,,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Giant Eagle,331 Washington Rd,Washington,Pennsylvania,15301,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.gianteagle.com,724-228-2865,https://www.linkedin.com/company/giant-eagle,9,436.88,26930,505422.66,"Commercial Building,Health Care",Red,giant eagle,331 washington rd|15301,Connected,OnNet,"Commercial Building,Health Care",Fiber,30,DQE COMMUNICATIONS,US86GX5QPC+HCFBS00,,,Existing Lit - Single Entrance,Building,,No,Giant Eagle - 0039,,,0,ok,US,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Sheetz,325 Freeport St,New Kensington,Pennsylvania,15068,Broadband,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.sheetz.net,724-367-7067,https://www.linkedin.com/company/sheetz,6,436.88,15067,512441.99,Commercial Building,Yellow,sheetz,325 freeport st|15068,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2H64R+643PS00,,,Estimated - Single Entrance Only,Building,,No,,,150,4000,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
606 Liberty Associates,925 Liberty Ave,Pittsburgh,Pennsylvania,15222,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://rubinoffcompany.com,412-231-1000,https://www.linkedin.com/company/the-rubinoff-company,20,435,23,435,Commercial Building,Red,606 liberty associates,925 liberty ave|15222,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US87G2C2V3+934BS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Alliance Drywall Interiors,235 Cavitt Ave,Trafford,Pennsylvania,15085,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.alliancedrywall.net,412-646-2103,,20,435,20,435,Commercial Building,Green,alliance drywall interiors,235 cavitt ave|15085,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G296MQ+6FVBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
August Henry's City Saloon,946 Penn Ave,Pittsburgh,Pennsylvania,15222,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.augusthenrys.com,412-765-3270,,20,435,20,435,Commercial Building,Red,august henry s city saloon,946 penn ave|15222,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C2V3+JC5BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
Etage Executive Living,424 Stanwix St,Pittsburgh,Pennsylvania,15222,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.town-place-by-bridgestreet.hotels-pittsburgh.com,412-646-8696,,20,435,20,435,Commercial Building,Red,etage executive living,424 stanwix st|15222,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GXCXRW+8FFPS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A,N/A,N/A
